"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785270951460098162","Tue Apr 30 11:33:20 +0000 2024","0","Tapi ngomong-ngomong gimana pertandingan semalam menurut Kawan Puan? #CeritaParapuan #Parapuan #KamuDidengar #PerempuanMemilih #PerempuanIndonesia #PerempuanHebat #TipePerempuan #TimnasIndonesia #PialaAsiau23 #Timnas #SepakBola #SepakBolaIndonesia #indonesiavsuzbekistan","1785271212085805366","","Cerita_Parapuan","in","","0","0","0","https://twitter.com/Cerita_Parapuan/status/1785271212085805366","1349286188402712576","Cerita_Parapuan"
"1785268170875711905","Tue Apr 30 11:21:15 +0000 2024","0","Harusnya ikutan sok sok sering jatuh juga lah mereka sering jatuh sendiri pemain Indo mestinya ikutan sering jatuh. Bola itu bukan soal skill kemampuan dan kepintaran tetapi tentang sebanyak apa pengecohan kepada lawan. #indonesiavsuzbekistan","1785268170875711905","","","in","Bandung ","0","0","0","https://twitter.com/renaerlianisyah/status/1785268170875711905","135391893","renaerlianisyah"
"1785268713362747580","Tue Apr 30 11:23:24 +0000 2024","0","Wasitnya kayak tukang parkir #indonesiavsuzbekistan #AsianCupU23","1785268713362747580","","","in","","0","0","0","https://twitter.com/ZulidarRizka/status/1785268713362747580","1296394153996083201","ZulidarRizka"
"1785269955820454323","Tue Apr 30 11:28:20 +0000 2024","0","Hhmm double kill untuk hari ini #indonesiavsuzbekistan","1785269955820454323","","","in","","0","0","0","https://twitter.com/ZulidarRizka/status/1785269955820454323","1296394153996083201","ZulidarRizka"
"1785255468463767957","Tue Apr 30 10:30:46 +0000 2024","1","Nemu stts we aa teman... Bikin gemes wasit² pertandingan #indonesiavsuzbekistan https://t.co/XZnKtNKax8","1785255468463767957","https://pbs.twimg.com/media/GMaAW-fbgAA_hdu.jpg","","in","Malang, Jawa Timur","0","0","0","https://twitter.com/agus_mn12/status/1785255468463767957","2553942204","agus_mn12"
"1785248718104740148","Tue Apr 30 10:03:57 +0000 2024","0","Kata Shin Tae-yong Usai Timnas U-23 Indonesia Kalah dari Uzbekistan baca selengkapnya di https://t.co/Bi8gjOGchA #timnasindonesia #pialaasia #aseancup #aseanafccup #shintaeyong #indonesiavsuzbekistan","1785248718104740148","","","in","Indonesia","0","0","0","https://twitter.com/KuBet_Indonesia/status/1785248718104740148","1742771543091073024","KuBet_Indonesia"
"1785247200190316792","Tue Apr 30 09:57:55 +0000 2024","0","Indonesia lolos ke final? Bandar: RUGI DONG! Wasit: AMAN BOSS. SY KONDISIKAN Dan begitulah pertandingan semalam berjalan #TimnasIndonesiaU23 #indonesiavsuzbekistan","1785247200190316792","","","in","San Siro, Milano","0","0","0","https://twitter.com/harrisrahmat/status/1785247200190316792","83807786","harrisrahmat"
"1785242112801521669","Tue Apr 30 09:37:42 +0000 2024","2","Kata Media Asing soal Kekalahan Indonesia dari Uzbekistan ~N #IndonesiaVSUzbekistan #MediaAsing #TimnasIndonesia https://t.co/ZLThsNVsUM","1785242112801521669","https://pbs.twimg.com/media/GMZ0JfUbkAEEC9a.jpg","","in","Jakarta","0","0","1","https://twitter.com/kompascom/status/1785242112801521669","23343960","kompascom"
"1785239289263263963","Tue Apr 30 09:28:19 +0000 2024","1","Shin Tae-Yong merasakan kerugian atas tidak imbangnya perlakuan wasit Shen Yinhao tersebut selama pertandingan semifinal Piala Asia U-23 #indonesiavsuzbekistan . Bagaimana menurutmu? https://t.co/qqatGsLFdj","1785239750213050644","https://pbs.twimg.com/media/GMZyB-fboAE5TXI.jpg","Forumterkiniid","in","","0","1","0","https://twitter.com/Forumterkiniid/status/1785239750213050644","1676121050499911686","Forumterkiniid"
"1785237657087561803","Tue Apr 30 09:20:00 +0000 2024","0","Ribuan suporter tertunduk lesu saat mengetahui Timnas Indonesia harus kalah melawan Uzbekistan pada senin malam. #IndonesiavsUzbekistan #PialaAsiaU23 #MedcomId https://t.co/k3I2f4SUbX","1785237657087561803","https://pbs.twimg.com/amplify_video_thumb/1785212575250268160/img/oK4yx8kooFlT4nUq.jpg","","in","Jakarta Capital Region, Indone","0","0","0","https://twitter.com/medcom_id/status/1785237657087561803","902837643024539651","medcom_id"
"1785237216710803755","Tue Apr 30 09:18:15 +0000 2024","0","Langkah skuad Garuda U23 terpaksa terhenti. Mereka kalah dengan skor 0-2 dari Uzbekistan. Kekalahan yang termaafkan. Begitu jika melihat perjuangan Tim Nasional Indonesia yang sejatinya adalah debutan turnamen bola sepak se Asia ini. #GarudaMuda #IndonesiaVsUzbekistan","1785237216710803755","","","in","DKI Jakarta","0","0","0","https://twitter.com/faktacom_/status/1785237216710803755","1664572693180747777","faktacom_"
"1785232636924866836","Tue Apr 30 09:00:03 +0000 2024","0","Nama selebgram Jerome Polin mendadak trending di media sosial usai kekalahan Timnas U-23 Indonesia melawan Uzbekistan dalam laga semifinal Piala Asia U-23. Jerome lantas menyampaikan permohonan maaf. #JeromePolin #IndonesiavsUzbekistan #MedcomId https://t.co/OSmWcWaHEg","1785232636924866836","","","in","Jakarta Capital Region, Indone","0","0","0","https://twitter.com/medcom_id/status/1785232636924866836","902837643024539651","medcom_id"
"1785226938015154402","Tue Apr 30 08:37:24 +0000 2024","2","Minimal kalo offside ada garis lahhh yg menunjukan kalo offside ini liga besar kok ada yah wasit se goblok ini #AFCU23アジアカップ #Uzbekistan #STYTerbaik #indoviral #indonesiavsuzbekistan https://t.co/buBEC2F4Ij","1785226938015154402","https://pbs.twimg.com/ext_tw_video_thumb/1785226860525424640/pu/img/9mJjhv5JEqHl6ZUn.jpg","","in","","0","0","0","https://twitter.com/kdynctt/status/1785226938015154402","3099468712","kdynctt"
"1785225915397800254","Tue Apr 30 08:33:20 +0000 2024","1","Polo Timnas Indonesia ready untuk kawan nobar mu Berminat bisa menghubungi Admin https://t.co/pYwyFIZ2Qp #sananta #AFCU23 #TimnasIndonesiaU23 #indonesiavsuzbekistan https://t.co/TdtVfvOYXi","1785225915397800254","https://pbs.twimg.com/media/GMZlf_ba4AA7Lt6.jpg","","in","","0","0","0","https://twitter.com/dhio_brian/status/1785225915397800254","1077909398356320258","dhio_brian"
"1785223355056226503","Tue Apr 30 08:23:10 +0000 2024","0","Timnas Indonesia U-23 kalah 0-2 dari Uzbekistan dalam laga semifinal Piala Asia U-23 yang digelar di Doha Qatar pada Senin 29 April 2024. #PresidenRI #Jokowi #Nobar #IndonesiaVsUzbekistan #KabinetIndonesiaMaju #Menteri #Semifinal #SepakBola #ShinTaeYong #ErickThohir #PSSI https://t.co/LPE8S3ctpX","1785223355056226503","https://pbs.twimg.com/ext_tw_video_thumb/1785222898355245056/pu/img/MAzrLTn2xOU0LPTi.jpg","","in","","0","0","0","https://twitter.com/finindonesia/status/1785223355056226503","998801336601788417","finindonesia"
"1785218426761531665","Tue Apr 30 08:03:35 +0000 2024","1","MODAL RECEH PUN WEDE CUY#PEPE4D #pepe4d #slotgacor #TimnasIndonesia #indonesiavsuzbekistan Link gacor ada di bawah https://t.co/MXv68ktvkc https://t.co/cgdmt8noQV","1785218426761531665","https://pbs.twimg.com/media/GMZeNsybsAAFW86.jpg","","in","Indonesia","0","0","0","https://twitter.com/Pepe4dmenang/status/1785218426761531665","1756301121994268672","Pepe4dmenang"
"1785217824509882424","Tue Apr 30 08:01:11 +0000 2024","0","Ditanya : HOW frustrating are you after tonight's defeat? Terjemahan nya : Gimana pesan kesan match malam ini? #AFCU23AsianCup #indonesiavsuzbekistan","1785217824509882424","","","in","Bekasi Timur, Indonesia","0","0","0","https://twitter.com/hilmyabdillah98/status/1785217824509882424","1237405415903723521","hilmyabdillah98"
"1785217695040086233","Tue Apr 30 08:00:40 +0000 2024","0","MODAL RECEH PUN WEDE CUY!! #TINDER88 #tinder88 #slotgacorhariini #slotgacor2024 #indonesiavsuzbekistan #indonesiaU23 Link Gacor ada di bawah https://t.co/FPgmyiLOny https://t.co/kr4lysQ75C","1785217695040086233","https://pbs.twimg.com/media/GMZdNFGbgAAsTGJ.jpg","","in","","0","0","0","https://twitter.com/tinderdelapan2/status/1785217695040086233","1756323828358086656","tinderdelapan2"
"1785217693647581659","Tue Apr 30 08:00:40 +0000 2024","1","terimakasih wasit :) _ tapi kami tidak buta. #catat . #Indonesia #indonesiavsuzbekistan #indonesiaU23 #AFCAsianCup2024 #indonesiaviral #AFCCheatingAgain #wasit #WasitJelek #wasittop #SHENYIHAO #shenyihao #AFCU23AsianCup https://t.co/FXbW8SbSzh","1785217693647581659","https://pbs.twimg.com/media/GMZdATia8AAIs9G.jpg","","in","Indonesia","0","0","3","https://twitter.com/ucl_terupdate/status/1785217693647581659","2344764464","ucl_terupdate"
"1784865447571075337","Tue Apr 30 07:57:04 +0000 2024","0","@ReezMuhammad @KAI121 Wasit ini apa ga tau....? Utang udah dibayar koq ga netral #indonesiavsuzbekistan gool Ferrari dianulir.. @afcasiancup https://t.co/X56cjaoLt7","1785216788625871089","https://pbs.twimg.com/media/GMZdNWwbIAAq8YI.jpg","ReezMuhammad","in","Tebet, Indonesia","0","0","0","https://twitter.com/sumpanto/status/1785216788625871089","1605195051084435457","sumpanto"
